,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0101.a5.txt,2020.68,1073.99,755.77,405.73,5,1,1
1,0102.a5.txt,1649.65,1029.07,871.96,267.09,7,5,3
2,0103.a5.txt,1824.69,1091.23,617.17,384.62,5,3,3
3,0104.a5.txt,1877.22,925.27,631.67,364.77,5,6,3
4,0105.a5.txt,1513.46,1030.64,547.82,575.67,2,3,4
5,0106.a5.txt,1973.31,953.29,838.89,648.24,2,0,0
6,0107.a5.txt,1979.43,1208.23,771.21,539.85,3,0,0
7,0108.a5.txt,2090.13,1056.72,761.46,326.34,7,5,0
8,0111.a5.txt,1651.29,1033.21,673.43,304.43,7,4,6
9,0112.a5.txt,2148.54,1069.85,636.6,574.71,3,2,0
10,0115.a5.txt,1316.24,1068.38,743.59,478.63,11,2,2
11,0119.a5.txt,1819.67,1081.97,729.51,229.51,7,3,3
12,0121.a5.txt,1531.41,1020.94,608.64,379.58,6,6,0
13,0122.a5.txt,1738.75,1015.0,714.92,361.87,6,1,0
14,0125.a5.txt,2203.23,997.15,873.69,474.83,1,2,0
15,0128.a5.txt,1923.44,1119.62,822.97,478.47,1,0,6
16,0130.a5.txt,1643.08,919.81,738.99,275.16,14,1,2
17,0134.a5.txt,1735.73,977.33,703.67,469.12,4,3,1
18,0137.a5.txt,1777.16,1049.72,570.9,451.2,2,3,2
19,0139.a5.txt,1328.0,1184.0,520.0,312.0,9,5,3
20,0140.a5.txt,1697.94,1018.77,625.56,277.03,6,2,3
21,0149.a5.txt,2555.03,1226.42,817.61,361.64,1,2,0
22,0157.a5.txt,1719.02,1160.56,628.27,584.64,3,0,0
23,0158.a5.txt,1563.86,1190.27,755.86,538.66,7,3,0
24,0159.a5.txt,2090.2,1049.44,954.03,329.58,0,0,0
25,0161.a5.txt,2169.74,872.7,960.77,256.2,3,3,0
26,0163.a5.txt,2292.61,927.6,874.81,429.86,1,0,0
27,0165.a5.txt,2024.22,977.51,821.8,285.47,5,3,0
28,0171.a5.txt,1558.91,941.09,517.24,380.75,15,2,2
29,0178.a5.txt,1507.4,1009.42,787.35,457.6,9,3,5
30,0182.a5.txt,2243.44,1066.03,731.9,421.64,7,2,0
31,0185.a5.txt,1787.52,1037.1,716.69,219.22,4,3,3
32,0186.a5.txt,1940.42,958.13,877.62,394.52,6,0,0
33,0187.a5.txt,2258.06,1093.19,770.61,358.42,5,5,1
34,0188.a5.txt,1544.97,1045.35,737.89,453.5,6,2,1
35,0192.a5.txt,1641.54,1105.53,644.89,435.51,9,2,2
36,0193.a5.txt,2165.39,1065.64,826.94,392.16,1,1,0
37,0197.a5.txt,1490.73,878.32,370.67,330.38,7,5,1
38,0198.a5.txt,2113.35,999.04,797.31,365.03,2,0,0
39,0199.a5.txt,1794.15,982.06,764.87,377.71,6,1,5
40,0200.a5.txt,1454.39,1153.18,688.47,421.69,5,4,3
41,0206.a5.txt,1466.56,942.79,701.05,354.55,5,5,1
42,0214.a5.txt,1611.21,1085.81,656.74,306.48,9,2,4
43,0215.a5.txt,1745.91,943.1,553.39,280.59,9,3,2
44,0219.a5.txt,2051.97,976.7,887.1,600.36,3,3,0
45,0222.a5.txt,1760.77,1138.76,689.0,411.48,0,1,1
46,0223.a5.txt,1572.61,1023.33,669.68,383.75,6,6,2
47,0227.a5.txt,1611.51,920.86,755.4,345.32,12,1,2
48,0234.a5.txt,1563.82,912.93,507.19,329.67,10,4,6
49,0238.a5.txt,1884.82,1130.89,659.69,324.61,3,0,1
50,1003.a5.txt,2192.41,1036.08,712.3,240.52,4,0,0
51,1005.a5.txt,1781.87,990.78,576.04,353.3,3,4,1
52,1006.a5.txt,1587.87,1008.03,651.2,401.43,9,2,4
53,1008.a5.txt,1903.63,1011.06,868.88,426.54,6,1,0
54,1010.a5.txt,2205.47,867.11,876.53,301.6,5,8,0
55,1012.a5.txt,1955.45,1014.85,734.32,321.78,3,0,0
56,1013.a5.txt,1658.03,1113.99,682.21,293.61,3,2,3
57,1014.a5.txt,1833.74,1002.44,782.4,350.45,6,3,3
58,1018.a5.txt,2017.09,948.72,888.89,273.5,5,0,1
59,1021.a5.txt,1796.18,1121.02,649.68,394.9,4,5,0
60,1022.a5.txt,2351.9,1140.58,1043.32,450.93,1,0,0
61,1023.a5.txt,1632.02,985.37,669.75,431.1,7,3,3
62,1032.a5.txt,2146.38,1151.32,657.89,567.43,0,1,0
63,1034.a5.txt,1791.5,1002.02,738.87,374.49,4,6,3
64,1036.a5.txt,1363.06,929.94,675.16,305.73,5,3,1
65,1041.a5.txt,1620.02,856.66,712.47,432.57,11,6,2
66,1043.a5.txt,1458.15,1104.4,621.23,534.94,8,0,1
67,1048.a5.txt,2131.9,996.93,667.18,406.44,3,6,0
68,1050.a5.txt,1590.46,1093.44,755.47,477.14,6,1,4
69,1055.a5.txt,1789.28,1053.59,1035.42,454.13,1,1,2
70,1057.a5.txt,1357.03,1195.48,605.82,339.26,6,2,2
71,1061.a5.txt,1442.79,1061.36,580.43,232.17,15,3,2
72,1062.a5.txt,1474.1,860.56,764.94,446.22,7,6,2
73,1064.a5.txt,2172.16,1230.89,603.38,579.24,2,2,0
74,1065.a5.txt,1798.86,956.66,719.54,384.3,10,4,3
75,1067.a5.txt,1728.5,1053.96,632.38,337.27,8,4,4
76,1068.a5.txt,1935.48,1290.32,716.85,501.79,2,1,2
77,1070.a5.txt,1339.93,1178.06,692.45,323.74,11,2,2
78,1072.a5.txt,1378.04,1046.43,537.95,456.89,5,8,3
79,1074.a5.txt,1886.12,1058.72,836.3,524.91,3,1,1
80,1081.a5.txt,2015.0,1059.04,890.35,412.37,2,4,0
81,1088.a5.txt,1344.18,1104.45,847.6,316.78,7,0,0
82,1094.a5.txt,1466.67,1333.33,542.22,248.89,9,2,1
83,1095.a5.txt,1480.52,1030.3,805.19,415.58,7,1,1
84,1099.a5.txt,1524.7,1098.81,604.77,332.2,11,0,1
85,1100.a5.txt,1570.95,1106.42,565.88,320.95,4,4,1
86,1102.a5.txt,2044.44,995.56,684.44,311.11,3,2,1
87,1104.a5.txt,1652.82,980.07,573.09,440.2,9,6,5
88,1112.a5.txt,1976.05,1077.84,1010.48,516.47,6,1,0
89,1121.a5.txt,1496.01,1053.01,668.12,501.09,4,2,2
90,2005.a5.txt,1900.9,1108.11,612.61,333.33,4,4,1
91,2007.a5.txt,1513.81,861.88,696.13,552.49,7,2,3
92,2012.a5.txt,2019.45,822.74,710.55,366.49,5,4,2
93,2014.a5.txt,2190.4,1013.93,828.17,456.66,5,3,0
94,2015.a5.txt,1829.09,937.03,757.12,329.84,4,5,2
95,2019.a5.txt,1785.4,1152.15,659.63,360.6,9,2,5
96,2020.a5.txt,1986.12,901.99,806.59,251.52,4,2,1
97,2021.a5.txt,1745.02,956.18,940.24,342.63,3,5,1
98,2026.a5.txt,1771.22,830.26,728.78,433.58,4,1,5
99,2028.a5.txt,2014.98,905.38,728.39,435.67,13,1,1
100,2032.a5.txt,1670.84,893.9,977.44,334.17,4,3,1
101,2034.a5.txt,1699.4,876.13,604.23,370.09,6,12,2
102,2035.a5.txt,1785.16,880.99,656.88,463.68,3,0,0
103,2036.a5.txt,1800.0,1115.38,615.38,438.46,4,2,0
104,2039.a5.txt,1265.53,978.26,729.81,419.25,12,3,2
105,2040.a5.txt,1981.37,965.28,838.27,330.23,11,7,0
106,2045.a5.txt,1895.02,1023.13,729.54,320.28,6,2,2
107,2048.a5.txt,1465.77,758.93,1019.35,319.94,14,5,1
108,2049.a5.txt,2221.06,1115.75,1084.46,333.68,5,0,1
109,2050.a5.txt,1661.24,863.19,675.9,456.03,7,9,3
110,2058.a5.txt,1423.14,928.46,616.44,342.47,8,5,1
111,2066.a5.txt,2110.69,1135.08,834.9,272.05,5,0,2
112,2071.a5.txt,2271.78,1052.26,885.02,397.21,2,1,0
113,2075.a5.txt,1977.19,809.34,619.23,412.82,10,3,1
